Continuum,Rank,Sub-Continuum,Year,Male_Edits,Female_Edits,NB_Edits,Male_Words,Female_Words,NB_Words
Entertainment,1,Crochet,2017,1,2,6,86,181,68
Entertainment,1,Crochet,2018,1,2,3,47,1079,28
Entertainment,1,Crochet,2019,3,1,1,24,699,118
Entertainment,1,Crochet,2020,1,1,1,129,242,167
Entertainment,1,Crochet,2021,1,4,1,74,991,108
Entertainment,1,Crochet,2022,1,1,1,122,463,42
Entertainment,1,Crochet,2023,3,2,1,88,1166,131
Entertainment,1,Crochet,2024,4,4,1,56,214,168
Entertainment,1,Crochet,2025,1,2,1,41,917,156
Entertainment,1,Crochet,2026,3,3,1,104,688,151
Entertainment,2,Decor/Prints,2005,1,2,1,178,381,91
Entertainment,2,Decor/Prints,2006,6,3,1,207,491,113
Entertainment,2,Decor/Prints,2007,1,1,2,74,456,22
Entertainment,2,Decor/Prints,2008,1,2,1,201,89,86
Entertainment,2,Decor/Prints,2009,1,1,1,81,509,36
Entertainment,2,Decor/Prints,2010,3,2,1,162,248,37
Entertainment,2,Decor/Prints,2011,1,1,1,69,97,57
Entertainment,2,Decor/Prints,2012,1,2,1,231,507,39
Entertainment,2,Decor/Prints,2013,1,1,1,86,354,111
Entertainment,2,Decor/Prints,2014,1,1,1,96,292,97
Entertainment,2,Decor/Prints,2015,1,2,1,136,189,81
Entertainment,2,Decor/Prints,2016,1,2,1,119,519,114
Entertainment,2,Decor/Prints,2017,1,1,1,47,641,87
Entertainment,2,Decor/Prints,2018,1,1,6,209,606,99
Entertainment,2,Decor/Prints,2019,1,1,1,127,208,48
Entertainment,2,Decor/Prints,2020,1,2,1,91,573,76
Entertainment,2,Decor/Prints,2021,2,2,1,181,497,41
Entertainment,2,Decor/Prints,2022,1,1,1,151,449,26
Entertainment,2,Decor/Prints,2023,1,1,1,144,424,74
Entertainment,2,Decor/Prints,2024,1,1,6,233,183,61
Entertainment,2,Decor/Prints,2025,1,1,1,137,457,39
Entertainment,2,Decor/Prints,2026,1,1,1,136,144,92
Entertainment,3,Hobbies & Crafts,2005,2,1,1,543,407,54
Entertainment,3,Hobbies & Crafts,2006,3,1,1,616,667,41
Entertainment,3,Hobbies & Crafts,2007,1,1,1,388,229,74
Entertainment,3,Hobbies & Crafts,2008,2,2,1,661,588,58
Entertainment,3,Hobbies & Crafts,2009,6,1,1,636,496,22
Entertainment,3,Hobbies & Crafts,2010,1,2,1,299,314,32
Entertainment,3,Hobbies & Crafts,2011,4,1,1,808,313,78
Entertainment,3,Hobbies & Crafts,2012,4,2,1,184,492,61
Entertainment,3,Hobbies & Crafts,2013,1,2,1,724,431,109
Entertainment,3,Hobbies & Crafts,2014,4,2,1,1004,771,49
Entertainment,3,Hobbies & Crafts,2015,3,1,1,482,728,39
Entertainment,3,Hobbies & Crafts,2016,1,3,1,552,479,63
Entertainment,3,Hobbies & Crafts,2017,4,2,1,446,784,48
Entertainment,3,Hobbies & Crafts,2018,3,2,2,1159,306,118
Entertainment,3,Hobbies & Crafts,2019,3,1,1,336,951,76
Entertainment,3,Hobbies & Crafts,2020,4,2,1,973,193,87
Entertainment,3,Hobbies & Crafts,2021,4,4,1,242,478,128
Entertainment,3,Hobbies & Crafts,2022,4,4,6,471,222,124
Entertainment,3,Hobbies & Crafts,2023,4,4,1,139,268,103
Entertainment,3,Hobbies & Crafts,2024,4,3,2,499,451,72
Entertainment,3,Hobbies & Crafts,2025,4,4,3,311,241,96
Entertainment,3,Hobbies & Crafts,2026,2,1,2,828,359,33
Entertainment,4,DIY,2005,2,1,1,1173,336,33
Entertainment,4,DIY,2006,4,1,1,1326,404,9
Entertainment,4,DIY,2007,2,2,6,622,63,29
Entertainment,4,DIY,2008,2,2,2,1393,122,49
Entertainment,4,DIY,2009,3,1,4,794,238,73
Entertainment,4,DIY,2010,1,2,3,421,323,42
Entertainment,4,DIY,2011,6,1,3,459,237,28
Entertainment,4,DIY,2012,2,1,1,1362,272,9
Entertainment,4,DIY,2013,4,2,1,423,168,73
Entertainment,4,DIY,2014,4,1,2,613,104,34
Entertainment,4,DIY,2015,3,1,1,1461,306,64
Entertainment,4,DIY,2016,4,2,2,579,372,18
Entertainment,4,DIY,2017,3,2,1,1419,63,54
Entertainment,4,DIY,2018,1,1,2,1311,397,12
Entertainment,4,DIY,2019,6,1,1,1672,281,49
Entertainment,4,DIY,2020,6,1,1,792,399,22
Entertainment,4,DIY,2021,6,1,2,529,352,28
Entertainment,4,DIY,2022,2,1,1,339,247,34
Entertainment,4,DIY,2023,3,2,3,1572,399,39
Entertainment,4,DIY,2024,4,1,1,1542,411,66
Entertainment,4,DIY,2025,1,1,3,1674,129,46
Entertainment,4,DIY,2026,4,1,3,639,94,36
Entertainment,4,Photography,2005,2,1,1,724,321,16
Entertainment,4,Photography,2006,4,1,1,1356,273,16
Entertainment,4,Photography,2007,2,1,3,1639,294,39
Entertainment,4,Photography,2008,2,1,1,777,308,58
Entertainment,4,Photography,2009,4,1,1,761,112,64
Entertainment,4,Photography,2010,6,1,4,389,139,13
Entertainment,4,Photography,2011,2,1,1,622,121,43
Entertainment,4,Photography,2012,2,1,1,404,91,44
Entertainment,4,Photography,2013,6,1,1,619,272,38
Entertainment,4,Photography,2014,4,1,1,1116,141,58
Entertainment,4,Photography,2015,6,1,1,1411,334,53
Entertainment,4,Photography,2016,2,2,1,1404,164,17
Entertainment,4,Photography,2017,3,1,1,986,39,16
Entertainment,4,Photography,2018,6,1,6,1071,156,31
Entertainment,4,Photography,2019,4,1,1,1558,112,23
Entertainment,4,Photography,2020,3,1,2,1668,52,44
Entertainment,4,Photography,2021,6,1,1,1546,56,58
Entertainment,4,Photography,2022,6,1,2,1729,339,53
Entertainment,4,Photography,2023,3,1,6,1974,164,26
Entertainment,4,Photography,2024,1,1,1,1056,117,9
Entertainment,4,Photography,2025,4,1,4,1341,266,39
Entertainment,4,Photography,2026,4,1,1,337,272,44
Entertainment,6,Visual & Media,2005,4,1,1,991,98,17
Entertainment,6,Visual & Media,2006,3,1,1,199,89,14
Entertainment,6,Visual & Media,2007,4,1,4,233,243,29
Entertainment,6,Visual & Media,2008,1,1,1,1179,47,14
Entertainment,6,Visual & Media,2009,1,1,6,1349,186,11
Entertainment,6,Visual & Media,2010,4,1,1,1501,239,17
Entertainment,6,Visual & Media,2011,4,1,4,1369,51,29
Entertainment,6,Visual & Media,2012,4,1,4,1096,207,6
Entertainment,6,Visual & Media,2013,2,2,4,1301,171,14
Entertainment,6,Visual & Media,2014,1,1,6,1109,122,31
Entertainment,6,Visual & Media,2015,1,1,1,316,191,33
Entertainment,6,Visual & Media,2016,6,1,1,343,244,24
Entertainment,6,Visual & Media,2017,4,1,1,897,224,26
Entertainment,6,Visual & Media,2018,2,1,1,523,193,19
Entertainment,6,Visual & Media,2019,4,1,1,524,66,13
Entertainment,6,Visual & Media,2020,1,1,1,1207,122,18
Entertainment,6,Visual & Media,2021,4,1,1,708,236,31
Entertainment,6,Visual & Media,2022,6,1,1,413,84,19
Entertainment,6,Visual & Media,2023,3,1,1,1018,182,21
Entertainment,6,Visual & Media,2024,3,1,1,286,153,31
Entertainment,6,Visual & Media,2025,6,1,1,892,201,32
Entertainment,6,Visual & Media,2026,1,1,4,931,163,21
Entertainment,7,Making Movies,2005,3,3,1,381,86,18
Entertainment,7,Making Movies,2006,1,1,1,352,26,42
Entertainment,7,Making Movies,2007,3,1,1,828,13,41
Entertainment,7,Making Movies,2008,3,1,3,302,44,26
Entertainment,7,Making Movies,2009,1,1,1,1121,71,7
Entertainment,7,Making Movies,2010,2,1,1,976,64,18
Entertainment,7,Making Movies,2011,1,1,1,701,41,18
Entertainment,7,Making Movies,2012,4,2,4,1017,81,12
Entertainment,7,Making Movies,2013,1,1,1,944,24,14
Entertainment,7,Making Movies,2014,3,2,1,222,47,29
Entertainment,7,Making Movies,2015,2,6,1,571,16,18
Entertainment,7,Making Movies,2016,3,6,4,474,77,26
Entertainment,7,Making Movies,2017,3,2,3,522,36,11
Entertainment,7,Making Movies,2018,1,1,1,371,16,31
Entertainment,7,Making Movies,2019,2,4,1,1081,94,32
Entertainment,7,Making Movies,2020,1,2,1,437,68,18
Entertainment,7,Making Movies,2021,3,2,4,628,57,32
Entertainment,7,Making Movies,2022,2,1,1,1153,17,39
Entertainment,7,Making Movies,2023,1,3,1,247,69,39
Entertainment,7,Making Movies,2024,2,1,3,821,83,23
Entertainment,7,Making Movies,2025,1,1,2,423,61,6
Entertainment,7,Making Movies,2026,3,1,6,616,71,23
Entertainment,8,Hacking,2005,8,1,1,1883,39,27
Entertainment,8,Hacking,2006,4,6,1,1066,84,24
Entertainment,8,Hacking,2007,2,1,1,2751,71,64
Entertainment,8,Hacking,2008,3,2,1,1093,11,76
Entertainment,8,Hacking,2009,3,1,2,1938,43,89
Entertainment,8,Hacking,2010,6,1,1,2939,32,91
Entertainment,8,Hacking,2011,3,6,3,3152,82,37
Entertainment,8,Hacking,2012,8,2,1,2649,24,101
Entertainment,8,Hacking,2013,4,1,4,2732,89,11
Entertainment,8,Hacking,2014,6,2,4,2163,34,57
Entertainment,8,Hacking,2015,4,1,1,2313,48,52
Entertainment,8,Hacking,2016,6,3,2,1092,27,34
Entertainment,8,Hacking,2017,13,1,6,1139,71,83
Entertainment,8,Hacking,2018,9,1,1,2621,81,88
Entertainment,8,Hacking,2019,6,1,3,777,31,13
Entertainment,8,Hacking,2020,6,4,1,1153,39,94
Entertainment,8,Hacking,2021,13,1,1,1767,12,58
Entertainment,8,Hacking,2022,6,6,1,2349,36,86
Entertainment,8,Hacking,2023,6,1,4,3039,34,21
Entertainment,8,Hacking,2024,2,1,1,2989,11,42
Entertainment,8,Hacking,2025,4,4,3,2519,51,34
Entertainment,8,Hacking,2026,9,1,1,1003,77,26
Entertainment,9,PC Gaming,2005,14,2,1,5294,183,143
Entertainment,9,PC Gaming,2006,16,1,1,1498,181,243
Entertainment,9,PC Gaming,2007,18,1,6,1166,84,238
Entertainment,9,PC Gaming,2008,9,1,1,1612,106,116
Entertainment,9,PC Gaming,2009,9,3,1,1648,174,161
Entertainment,9,PC Gaming,2010,8,1,1,5423,156,266
Entertainment,9,PC Gaming,2011,14,6,2,1241,27,236
Entertainment,9,PC Gaming,2012,18,1,1,2407,23,187
Entertainment,9,PC Gaming,2013,13,1,1,1744,48,134
Entertainment,9,PC Gaming,2014,3,1,1,1093,29,36
Entertainment,9,PC Gaming,2015,11,1,3,5553,122,231
Entertainment,9,PC Gaming,2016,4,1,1,2773,181,151
Entertainment,9,PC Gaming,2017,12,1,6,694,108,191
Entertainment,9,PC Gaming,2018,7,1,1,2539,27,239
Entertainment,9,PC Gaming,2019,14,3,1,4996,92,138
Entertainment,9,PC Gaming,2020,2,1,1,4714,86,173
Entertainment,9,PC Gaming,2021,14,1,1,3958,42,64
Entertainment,9,PC Gaming,2022,9,3,1,2141,109,246
Entertainment,9,PC Gaming,2023,4,1,1,3146,52,117
Entertainment,9,PC Gaming,2024,7,1,1,1758,176,56
Entertainment,9,PC Gaming,2025,9,1,1,4333,173,151
Entertainment,9,PC Gaming,2026,7,4,1,3173,159,173
Policy,1,Maternal Health,2005,1,4,1,203,234,56
Policy,1,Maternal Health,2006,1,1,1,313,1113,37
Policy,1,Maternal Health,2007,2,4,4,352,704,64
Policy,1,Maternal Health,2008,1,3,1,82,988,22
Policy,1,Maternal Health,2009,2,3,6,236,531,17
Policy,1,Maternal Health,2010,1,1,1,193,841,64
Policy,1,Maternal Health,2011,1,4,1,471,479,36
Policy,1,Maternal Health,2012,2,1,1,438,974,59
Policy,1,Maternal Health,2013,1,4,1,401,1028,14
Policy,1,Maternal Health,2014,1,2,1,438,598,61
Policy,1,Maternal Health,2015,1,3,1,251,1154,67
Policy,1,Maternal Health,2016,1,1,4,331,1251,22
Policy,1,Maternal Health,2017,1,3,3,61,163,29
Policy,1,Maternal Health,2018,1,4,3,204,1122,12
Policy,1,Maternal Health,2019,1,3,4,223,1011,52
Policy,1,Maternal Health,2020,6,4,6,277,549,48
Policy,1,Maternal Health,2021,2,2,1,326,184,51
Policy,1,Maternal Health,2022,1,4,1,387,1146,8
Policy,1,Maternal Health,2023,1,4,6,143,611,56
Policy,1,Maternal Health,2024,1,1,3,427,241,29
Policy,1,Maternal Health,2025,2,2,1,506,749,54
Policy,1,Maternal Health,2026,1,4,1,311,988,9
Policy,1,Welfare Services,2005,1,1,4,279,257,26
Policy,1,Welfare Services,2006,2,1,3,129,596,21
Policy,1,Welfare Services,2007,4,1,4,122,554,19
Policy,1,Welfare Services,2008,1,1,1,214,632,9
Policy,1,Welfare Services,2009,1,1,6,248,581,19
Policy,1,Welfare Services,2010,1,2,1,256,599,22
Policy,1,Welfare Services,2011,1,1,4,128,523,17
Policy,1,Welfare Services,2012,1,2,6,252,663,23
Policy,1,Welfare Services,2013,1,2,2,358,316,8
Policy,1,Welfare Services,2014,1,2,2,133,279,14
Policy,1,Welfare Services,2015,1,2,1,364,606,19
Policy,1,Welfare Services,2016,1,3,6,287,426,3
Policy,1,Welfare Services,2017,1,2,1,309,163,21
Policy,1,Welfare Services,2018,1,1,3,291,112,18
Policy,1,Welfare Services,2019,1,2,1,308,613,19
Policy,1,Welfare Services,2020,1,1,1,394,459,16
Policy,1,Welfare Services,2021,1,1,3,439,526,13
Policy,1,Welfare Services,2022,4,2,1,182,601,12
Policy,1,Welfare Services,2023,1,2,3,187,167,7
Policy,1,Welfare Services,2024,1,2,4,177,186,6
Policy,1,Welfare Services,2025,2,2,2,413,579,14
Policy,1,Welfare Services,2026,1,3,3,256,637,18
Policy,2,Human Rights,2005,3,2,6,396,437,84
Policy,2,Human Rights,2006,3,2,4,963,112,18
Policy,2,Human Rights,2007,1,3,1,268,676,48
Policy,2,Human Rights,2008,4,2,6,1228,577,51
Policy,2,Human Rights,2009,1,1,3,1123,526,114
Policy,2,Human Rights,2010,1,1,2,198,401,74
Policy,2,Human Rights,2011,4,3,2,259,297,26
Policy,2,Human Rights,2012,1,3,4,871,443,116
Policy,2,Human Rights,2013,1,1,6,1241,126,64
Policy,2,Human Rights,2014,2,2,1,733,888,38
Policy,2,Human Rights,2015,2,2,2,414,733,113
Policy,2,Human Rights,2016,3,1,1,693,496,81
Policy,2,Human Rights,2017,3,3,3,236,698,59
Policy,2,Human Rights,2018,2,2,1,928,619,22
Policy,2,Human Rights,2019,1,3,2,694,612,42
Policy,2,Human Rights,2020,3,1,1,1176,467,89
Policy,2,Human Rights,2021,3,3,4,851,324,71
Policy,2,Human Rights,2022,2,1,1,388,913,41
Policy,2,Human Rights,2023,4,2,1,369,896,43
Policy,2,Human Rights,2024,4,2,3,499,792,113
Policy,2,Human Rights,2025,4,2,1,737,116,104
Policy,2,Human Rights,2026,1,3,2,1103,619,21
Policy,3,Public Policy,2005,3,1,1,391,193,12
Policy,3,Public Policy,2006,4,2,1,578,464,26
Policy,3,Public Policy,2007,1,1,6,316,426,11
Policy,3,Public Policy,2008,3,2,1,1269,214,43
Policy,3,Public Policy,2009,1,2,6,346,464,46
Policy,3,Public Policy,2010,2,1,1,908,231,24
Policy,3,Public Policy,2011,4,2,1,541,469,49
Policy,3,Public Policy,2012,3,1,1,276,379,46
Policy,3,Public Policy,2013,4,1,1,1486,143,18
Policy,3,Public Policy,2014,2,1,1,947,172,23
Policy,3,Public Policy,2015,2,1,1,299,191,42
Policy,3,Public Policy,2016,1,2,6,1074,326,9
Policy,3,Public Policy,2017,1,6,1,573,93,29
Policy,3,Public Policy,2018,2,2,4,696,216,6
Policy,3,Public Policy,2019,4,1,1,702,344,48
Policy,3,Public Policy,2020,3,1,1,673,286,39
Policy,3,Public Policy,2021,2,1,1,708,427,11
Policy,3,Public Policy,2022,1,2,1,654,177,42
Policy,3,Public Policy,2023,4,1,6,1048,346,11
Policy,3,Public Policy,2024,1,2,1,1198,121,46
Policy,3,Public Policy,2025,1,1,1,1397,404,36
Policy,3,Public Policy,2026,4,2,1,189,323,23
Policy,4,Civic Participation,2005,2,1,2,503,68,74
Policy,4,Civic Participation,2006,2,1,6,849,71,43
Policy,4,Civic Participation,2007,3,1,1,488,236,14
Policy,4,Civic Participation,2008,6,1,3,1686,66,23
Policy,4,Civic Participation,2009,4,1,1,1404,106,68
Policy,4,Civic Participation,2010,2,1,3,322,328,19
Policy,4,Civic Participation,2011,4,1,1,386,257,11
Policy,4,Civic Participation,2012,6,1,4,1371,122,49
Policy,4,Civic Participation,2013,6,1,4,806,241,34
Policy,4,Civic Participation,2014,4,1,1,1639,214,33
Policy,4,Civic Participation,2015,1,1,1,1084,256,46
Policy,4,Civic Participation,2016,3,1,1,523,71,24
Policy,4,Civic Participation,2017,4,1,6,364,141,13
Policy,4,Civic Participation,2018,1,1,2,654,47,69
Policy,4,Civic Participation,2019,1,1,1,516,84,21
Policy,4,Civic Participation,2020,1,1,1,1162,323,26
Policy,4,Civic Participation,2021,4,1,1,1621,346,29
Policy,4,Civic Participation,2022,6,2,1,763,48,72
Policy,4,Civic Participation,2023,4,6,1,1061,69,66
Policy,4,Civic Participation,2024,2,1,4,338,209,8
Policy,4,Civic Participation,2025,6,1,1,713,219,26
Policy,4,Civic Participation,2026,4,3,6,1453,111,57
Policy,6,Legal Matters,2005,8,1,1,1611,337,23
Policy,6,Legal Matters,2006,4,2,1,1946,216,29
Policy,6,Legal Matters,2007,6,2,1,713,74,22
Policy,6,Legal Matters,2008,6,2,1,2549,299,21
Policy,6,Legal Matters,2009,3,1,3,1909,73,78
Policy,6,Legal Matters,2010,4,1,1,1454,329,34
Policy,6,Legal Matters,2011,4,2,1,1307,131,68
Policy,6,Legal Matters,2012,4,1,1,532,308,12
Policy,6,Legal Matters,2013,7,1,3,1319,394,48
Policy,6,Legal Matters,2014,2,1,2,2516,217,82
Policy,6,Legal Matters,2015,4,1,1,1574,218,51
Policy,6,Legal Matters,2016,4,1,3,823,407,33
Policy,6,Legal Matters,2017,4,1,1,2307,76,21
Policy,6,Legal Matters,2018,6,1,3,1086,248,51
Policy,6,Legal Matters,2019,7,1,1,698,159,22
Policy,6,Legal Matters,2020,1,1,1,323,139,46
Policy,6,Legal Matters,2021,9,1,2,296,362,71
Policy,6,Legal Matters,2022,2,1,3,1964,277,74
Policy,6,Legal Matters,2023,3,4,1,529,53,86
Policy,6,Legal Matters,2024,6,1,6,1916,142,28
Policy,6,Legal Matters,2025,2,1,3,2039,111,32
Policy,6,Legal Matters,2026,3,2,4,891,84,47
Policy,6,Economic Policy,2005,2,1,1,1237,61,19
Policy,6,Economic Policy,2006,4,1,4,334,88,14
Policy,6,Economic Policy,2007,1,1,6,349,26,6
Policy,6,Economic Policy,2008,1,4,1,1182,104,4
Policy,6,Economic Policy,2009,2,2,4,1003,26,12
Policy,6,Economic Policy,2010,1,3,4,612,13,14
Policy,6,Economic Policy,2011,4,1,1,786,18,3
Policy,6,Economic Policy,2012,2,6,1,669,64,27
Policy,6,Economic Policy,2013,3,4,4,1111,28,11
Policy,6,Economic Policy,2014,2,1,1,494,94,23
Policy,6,Economic Policy,2015,3,1,1,528,86,19
Policy,6,Economic Policy,2016,1,1,1,1384,107,26
Policy,6,Economic Policy,2017,2,1,1,1831,63,11
Policy,6,Economic Policy,2018,3,1,1,929,24,27
Policy,6,Economic Policy,2019,4,6,1,1691,68,28
Policy,6,Economic Policy,2020,3,4,6,1706,64,4
Policy,6,Economic Policy,2021,4,1,2,777,36,19
Policy,6,Economic Policy,2022,2,2,1,1667,92,18
Policy,6,Economic Policy,2023,1,1,6,1536,106,12
Policy,6,Economic Policy,2024,2,1,1,324,48,8
Policy,6,Economic Policy,2025,1,1,1,678,76,7
Policy,6,Economic Policy,2026,4,4,1,1358,57,8
Policy,7,Taxes,2005,6,1,6,2163,99,18
Policy,7,Taxes,2006,7,1,1,1841,87,12
Policy,7,Taxes,2007,4,4,1,2056,56,31
Policy,7,Taxes,2008,4,1,1,877,61,29
Policy,7,Taxes,2009,3,1,1,673,131,29
Policy,7,Taxes,2010,3,1,1,1036,48,32
Policy,7,Taxes,2011,6,1,4,1642,119,17
Policy,7,Taxes,2012,4,1,1,988,123,32
Policy,7,Taxes,2013,2,6,1,528,124,12
Policy,7,Taxes,2014,2,1,1,404,76,18
Policy,7,Taxes,2015,2,1,2,2193,56,9
Policy,7,Taxes,2016,3,1,1,656,54,12
Policy,7,Taxes,2017,7,1,1,1812,121,28
Policy,7,Taxes,2018,8,1,1,2267,116,6
Policy,7,Taxes,2019,4,2,1,2162,108,32
Policy,7,Taxes,2020,6,1,4,744,92,17
Policy,7,Taxes,2021,2,1,4,1939,142,6
Policy,7,Taxes,2022,6,1,3,424,81,11
Policy,7,Taxes,2023,6,1,6,1653,29,12
Policy,7,Taxes,2024,7,1,1,1336,43,12
Policy,7,Taxes,2025,2,1,1,578,64,12
Policy,7,Taxes,2026,4,1,2,674,123,23
Policy,8,Law Enforcement,2005,8,1,3,1649,179,16
Policy,8,Law Enforcement,2006,9,1,1,2832,146,54
Policy,8,Law Enforcement,2007,8,1,1,462,42,56
Policy,8,Law Enforcement,2008,11,1,1,2906,106,24
Policy,8,Law Enforcement,2009,11,1,1,2142,142,26
Policy,8,Law Enforcement,2010,4,1,4,2131,29,18
Policy,8,Law Enforcement,2011,2,1,1,699,116,16
Policy,8,Law Enforcement,2012,4,1,1,2841,111,11
Policy,8,Law Enforcement,2013,4,1,1,557,131,41
Policy,8,Law Enforcement,2014,11,1,2,803,166,43
Policy,8,Law Enforcement,2015,7,1,1,774,154,24
Policy,8,Law Enforcement,2016,6,1,4,2039,184,39
Policy,8,Law Enforcement,2017,2,4,1,599,181,32
Policy,8,Law Enforcement,2018,9,1,1,1321,99,58
Policy,8,Law Enforcement,2019,2,1,1,2691,126,58
Policy,8,Law Enforcement,2020,6,1,6,1218,106,86
Policy,8,Law Enforcement,2021,9,1,1,2121,41,29
Policy,8,Law Enforcement,2022,6,6,1,1566,169,58
Policy,8,Law Enforcement,2023,3,1,1,2908,156,52
Policy,8,Law Enforcement,2024,9,1,1,1801,87,42
Policy,8,Law Enforcement,2025,3,1,1,2703,119,64
Policy,8,Law Enforcement,2026,7,1,6,1918,118,37
Policy,9,Military,2005,3,1,6,1894,9,14
Policy,9,Military,2006,3,2,6,2192,66,9
Policy,9,Military,2007,4,3,1,2198,58,39
Policy,9,Military,2008,3,2,1,3307,38,12
Policy,9,Military,2009,4,4,1,3252,39,37
Policy,9,Military,2010,3,3,4,1843,11,23
Policy,9,Military,2011,6,3,4,912,68,14
Policy,9,Military,2012,9,6,6,1666,37,7
Policy,9,Military,2013,6,1,1,2909,29,32
Policy,9,Military,2014,9,1,1,899,73,11
Policy,9,Military,2015,9,1,1,1526,56,19
Policy,9,Military,2016,1,1,1,2256,14,43
Policy,9,Military,2017,4,1,2,2957,31,23
Policy,9,Military,2018,6,1,1,1697,64,29
Policy,9,Military,2019,4,1,1,1462,83,21
Policy,9,Military,2020,2,1,1,3671,74,32
Policy,9,Military,2021,3,1,1,2306,54,18
Policy,9,Military,2022,9,6,4,3679,79,14
Policy,9,Military,2023,3,1,1,3664,11,18
Policy,9,Military,2024,2,3,1,2134,49,14
Policy,9,Military,2025,7,4,1,2307,84,29
Policy,9,Military,2026,8,1,1,1594,44,24
